"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
"State  Code","District Code","Sub District Code","India/ State/ Union Territory/ District/ Sub-district",Name,"Total/
Rural/
Urban","Number of villages",,"Number of towns","Number of households",Population,,,"Area
 (In sq. km)","Population per sq. km."
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
01,020,00076,SUB-DISTRICT,Gool-Gulabgarh,Urban,0,0,0,0,0,0,0,0,0
01,020,00077,SUB-DISTRICT,Reasi,Total,192,2,5,30907,166824,88280,78544,861.53,194
01,020,00077,SUB-DISTRICT,Reasi,Rural,192,2,0,25877,139828,73300,66528,822.52,170
01,020,00077,SUB-DISTRICT,Reasi,Urban,0,0,5,5030,26996,14980,12016,39.01,692
01,021,00000,DISTRICT,Jammu,Total,780,72,20,314199,1529958,813821,716137,2342,653
01,021,00000,DISTRICT,Jammu,Rural,780,72,0,159291,764945,401603,363342,2089.87,366
01,021,00000,DISTRICT,Jammu,Urban,0,0,20,154908,765013,412218,352795,252.13,3034
01,021,00078,SUB-DISTRICT,Akhnoor,Total,207,19,3,54133,250446,133592,116854,969.5,258
01,021,00078,SUB-DISTRICT,Akhnoor,Rural,207,19,0,48256,218825,114114,104711,960.77,228
01,021,00078,SUB-DISTRICT,Akhnoor,Urban,0,0,3,5877,31621,19478,12143,8.73,3622
01,021,00079,SUB-DISTRICT,Jammu,Total,309,11,11,195906,970335,517447,452888,1069.72,907
01,021,00079,SUB-DISTRICT,Jammu,Rural,309,11,0,56576,284890,150516,134374,848.45,336
01,021,00079,SUB-DISTRICT,Jammu,Urban,0,0,11,139330,685445,366931,318514,221.27,3098
01,021,00080,SUB-DISTRICT,"Ranbir Singh Pora",Total,163,27,4,41528,197739,104475,93264,245.26,806
01,021,00080,SUB-DISTRICT,"Ranbir Singh Pora",Rural,163,27,0,35767,169459,89097,80362,238.48,711
01,021,00080,SUB-DISTRICT,"Ranbir Singh Pora",Urban,0,0,4,5761,28280,15378,12902,6.78,4171
01,021,00081,SUB-DISTRICT,Bishnah,Total,101,15,2,22632,111438,58307,53131,158.18,705
01,021,00081,SUB-DISTRICT,Bishnah,Rural,101,15,0,18692,91771,47876,43895,142.83000000000001,643
01,021,00081,SUB-DISTRICT,Bishnah,Urban,0,0,2,3940,19667,10431,9236,15.35,1281
01,022,00000,DISTRICT,Samba,Total,345,31,6,65385,318898,169124,149774,904,353
01,022,00000,DISTRICT,Samba,Rural,345,31,0,54718,265283,139365,125918,865.24,307
01,022,00000,DISTRICT,Samba,Urban,0,0,6,10667,53615,29759,23856,38.76,1383
01,022,00082,SUB-DISTRICT,Samba,Total,345,31,6,65385,318898,169124,149774,903.65,353
01,022,00082,SUB-DISTRICT,Samba,Rural,345,31,0,54718,265283,139365,125918,864.89,307
01,022,00082,SUB-DISTRICT,Samba,Urban,0,0,6,10667,53615,29759,23856,38.76,1383
02,000,00000,STATE,"HIMACHAL PRADESH",Total,17882,2808,59,1483280,6864602,3481873,3382729,55673,123
02,000,00000,STATE,"HIMACHAL PRADESH",Rural,17882,2808,0,1312510,6176050,3110345,3065705,55402.18,111
02,000,00000,STATE,"HIMACHAL PRADESH",Urban,0,0,59,170770,688552,371528,317024,270.82,2542
02,023,00000,DISTRICT,Chamba,Total,1110,481,5,102460,519080,261320,257760,6522.0002245146725,80
02,023,00000,DISTRICT,Chamba,Rural,1110,481,0,94596,482972,241963,241009,6501.26,74
02,023,00000,DISTRICT,Chamba,Urban,0,0,5,7864,36108,19357,16751,20.74,1741
02,023,00083,SUB-DISTRICT,Pangi,Total,60,46,0,3952,18868,9579,9289,1515.455245321114,12
02,023,00083,SUB-DISTRICT,Pangi,Rural,60,46,0,3952,18868,9579,9289,1515.455245321114,12
02,023,00083,SUB-DISTRICT,Pangi,Urban,0,0,0,0,0,0,0,0,0
02,023,00084,SUB-DISTRICT,Chaurah,Total,181,131,0,14142,78988,40152,38836,1164.8945641198541,68
02,023,00084,SUB-DISTRICT,Chaurah,Rural,181,131,0,14142,78988,40152,38836,1164.8945641198541,68
02,023,00084,SUB-DISTRICT,Chaurah,Urban,0,0,0,0,0,0,0,0,0
02,023,00085,SUB-DISTRICT,Saluni,Total,132,46,0,8815,47939,24197,23742,362.0248525754306,132
02,023,00085,SUB-DISTRICT,Saluni,Rural,132,46,0,8815,47939,24197,23742,362.0248525754306,132
02,023,00085,SUB-DISTRICT,Saluni,Urban,0,0,0,0,0,0,0,0,0
02,023,00086,SUB-DISTRICT,Bhalai,Total,78,2,0,4774,25326,12561,12765,133.25185124403168,190
02,023,00086,SUB-DISTRICT,Bhalai,Rural,78,2,0,4774,25326,12561,12765,133.25185124403168,190
02,023,00086,SUB-DISTRICT,Bhalai,Urban,0,0,0,0,0,0,0,0,0
02,023,00087,SUB-DISTRICT,Dalhousie,Total,119,7,2,9514,46760,24339,22421,159.95734751725522,292
02,023,00087,SUB-DISTRICT,Dalhousie,Rural,119,7,0,7507,36160,17968,18192,148.25734751725523,244
02,023,00087,SUB-DISTRICT,Dalhousie,Urban,0,0,2,2007,10600,6371,4229,11.7,906
02,023,00088,SUB-DISTRICT,Bhattiyat,Total,123,10,2,8897,42967,21550,21417,248.88379172063836,173
02,023,00088,SUB-DISTRICT,Bhattiyat,Rural,123,10,0,7596,37392,18535,18857,244.17379172063835,153
02,023,00088,SUB-DISTRICT,Bhattiyat,Urban,0,0,2,1301,5575,3015,2560,4.71,1184
02,023,00089,SUB-DISTRICT,Sihunta,Total,80,17,0,8297,39871,19634,20237,264.18636775793277,151
02,023,00089,SUB-DISTRICT,Sihunta,Rural,80,17,0,8297,39871,19634,20237,264.18636775793277,151
02,023,00089,SUB-DISTRICT,Sihunta,Urban,0,0,0,0,0,0,0,0,0
02,023,00090,SUB-DISTRICT,Chamba,Total,241,66,1,35900,179253,89199,90054,1012.2771446685192,177
02,023,00090,SUB-DISTRICT,Chamba,Rural,241,66,0,31344,159320,79228,80092,1007.9471446685192,158
02,023,00090,SUB-DISTRICT,Chamba,Urban,0,0,1,4556,19933,9971,9962,4.33,4603
02,023,00091,SUB-DISTRICT,Holi,Total,46,94,0,3027,14094,7236,6858,716.06664013340674,20
02,023,00091,SUB-DISTRICT,Holi,Rural,46,94,0,3027,14094,7236,6858,716.06664013340674,20
02,023,00091,SUB-DISTRICT,Holi,Urban,0,0,0,0,0,0,0,0,0
02,023,00092,SUB-DISTRICT,Brahmaur,Total,50,62,0,5142,25014,12873,12141,945.01318635648943,26
