yeat,temperature,uncertainity,state,country,lang,lat
1808/08/01,,,Bombay,India,18.48N,72.68E
1808/09/01,,,Bombay,India,18.48N,72.68E
1808/10/01,,,Bombay,India,18.48N,72.68E
1808/11/01,,,Bombay,India,18.48N,72.68E
1808/12/01,,,Bombay,India,18.48N,72.68E
1809/01/01,,,Bombay,India,18.48N,72.68E
1809/02/01,,,Bombay,India,18.48N,72.68E
1809/03/01,,,Bombay,India,18.48N,72.68E
1809/04/01,,,Bombay,India,18.48N,72.68E
1809/05/01,,,Bombay,India,18.48N,72.68E
1809/06/01,,,Bombay,India,18.48N,72.68E
1809/07/01,,,Bombay,India,18.48N,72.68E
1809/08/01,,,Bombay,India,18.48N,72.68E
1809/09/01,,,Bombay,India,18.48N,72.68E
1809/10/01,,,Bombay,India,18.48N,72.68E
1809/11/01,,,Bombay,India,18.48N,72.68E
1809/12/01,,,Bombay,India,18.48N,72.68E
1810/01/01,,,Bombay,India,18.48N,72.68E
1810/02/01,,,Bombay,India,18.48N,72.68E
1810/03/01,,,Bombay,India,18.48N,72.68E
1810/04/01,,,Bombay,India,18.48N,72.68E
1810/05/01,,,Bombay,India,18.48N,72.68E
1810/06/01,,,Bombay,India,18.48N,72.68E
1810/07/01,,,Bombay,India,18.48N,72.68E
1810/08/01,,,Bombay,India,18.48N,72.68E
1810/09/01,,,Bombay,India,18.48N,72.68E
1810/10/01,,,Bombay,India,18.48N,72.68E
1810/11/01,,,Bombay,India,18.48N,72.68E
1810/12/01,,,Bombay,India,18.48N,72.68E
1811/01/01,,,Bombay,India,18.48N,72.68E
1811/02/01,,,Bombay,India,18.48N,72.68E
1811/03/01,,,Bombay,India,18.48N,72.68E
1811/04/01,,,Bombay,India,18.48N,72.68E
1811/05/01,,,Bombay,India,18.48N,72.68E
1811/06/01,,,Bombay,India,18.48N,72.68E
1811/07/01,,,Bombay,India,18.48N,72.68E
1811/08/01,,,Bombay,India,18.48N,72.68E
1811/09/01,,,Bombay,India,18.48N,72.68E
1811/10/01,,,Bombay,India,18.48N,72.68E
1811/11/01,,,Bombay,India,18.48N,72.68E
1811/12/01,,,Bombay,India,18.48N,72.68E
1812/01/01,,,Bombay,India,18.48N,72.68E
1812/02/01,,,Bombay,India,18.48N,72.68E
1812/03/01,,,Bombay,India,18.48N,72.68E
1812/04/01,,,Bombay,India,18.48N,72.68E
1812/05/01,,,Bombay,India,18.48N,72.68E
1812/06/01,,,Bombay,India,18.48N,72.68E
1812/07/01,,,Bombay,India,18.48N,72.68E
1812/08/01,,,Bombay,India,18.48N,72.68E
1812/09/01,,,Bombay,India,18.48N,72.68E
1812/10/01,,,Bombay,India,18.48N,72.68E
1812/11/01,,,Bombay,India,18.48N,72.68E
1812/12/01,,,Bombay,India,18.48N,72.68E
1813/01/01,22.003,3.062,Bombay,India,18.48N,72.68E
1813/02/01,23.342,1.43,Bombay,India,18.48N,72.68E
1813/03/01,23.615,5.549,Bombay,India,18.48N,72.68E
1813/04/01,27.842,1.389,Bombay,India,18.48N,72.68E
1813/05/01,29.546000000000006,4.792,Bombay,India,18.48N,72.68E
1813/06/01,27.665000000000006,2.322,Bombay,India,18.48N,72.68E
1813/07/01,26.952,1.717,Bombay,India,18.48N,72.68E
1813/08/01,25.711,1.17,Bombay,India,18.48N,72.68E
1813/09/01,26.856,1.7919999999999998,Bombay,India,18.48N,72.68E
1813/10/01,26.775,1.33,Bombay,India,18.48N,72.68E
1813/11/01,27.744,1.729,Bombay,India,18.48N,72.68E
1813/12/01,24.185,1.767,Bombay,India,18.48N,72.68E
1814/01/01,22.785,3.014,Bombay,India,18.48N,72.68E
1814/02/01,23.301,1.256,Bombay,India,18.48N,72.68E
1814/03/01,24.276999999999997,1.885,Bombay,India,18.48N,72.68E
1814/04/01,26.493,1.452,Bombay,India,18.48N,72.68E
1814/05/01,,,Bombay,India,18.48N,72.68E
1814/06/01,28.363000000000003,1.729,Bombay,India,18.48N,72.68E
1814/07/01,25.805,2.853,Bombay,India,18.48N,72.68E
1814/08/01,25.789,1.473,Bombay,India,18.48N,72.68E
1814/09/01,25.757,1.275,Bombay,India,18.48N,72.68E
1814/10/01,26.119,3.247,Bombay,India,18.48N,72.68E
1814/11/01,27.706,4.578,Bombay,India,18.48N,72.68E
1814/12/01,26.784000000000002,5.039,Bombay,India,18.48N,72.68E
1815/01/01,23.144,2.456,Bombay,India,18.48N,72.68E
1815/02/01,23.891,4.673,Bombay,India,18.48N,72.68E
1815/03/01,24.263,3.129,Bombay,India,18.48N,72.68E
1815/04/01,27.430999999999997,3.052,Bombay,India,18.48N,72.68E
1815/05/01,28.397,3.295,Bombay,India,18.48N,72.68E
1815/06/01,25.891,1.604,Bombay,India,18.48N,72.68E
1815/07/01,26.283,2.77,Bombay,India,18.48N,72.68E
1815/08/01,26.012,1.59,Bombay,India,18.48N,72.68E
1815/09/01,26.339000000000002,1.2990000000000002,Bombay,India,18.48N,72.68E
1815/10/01,25.608,2.756,Bombay,India,18.48N,72.68E
1815/11/01,25.668000000000003,2.152,Bombay,India,18.48N,72.68E
1815/12/01,23.794,2.056,Bombay,India,18.48N,72.68E
1816/01/01,23.55,4.408,Bombay,India,18.48N,72.68E
1816/02/01,21.01,2.0380000000000003,Bombay,India,18.48N,72.68E
1816/03/01,24.001,1.899,Bombay,India,18.48N,72.68E
1816/04/01,26.163,3.564,Bombay,India,18.48N,72.68E
1816/05/01,28.471,1.925,Bombay,India,18.48N,72.68E
